geneID	ATAC_region	ATAC_factor	ATAC_direction	Time	Gd7	Toll10b	Toll9
FBgn0000395	Region6760	Gd7	Up	-0.467167301211246	2.64207724763706	-1.66426991436624	-0.913949770869478
FBgn0260866	Region6980	Gd7	Down	-0.743856630492393	-1.76581927710574	1.43000398207289	0.177337024541534
FBgn0260866	Region6981	Gd7	Down	-0.702573734958653	-2.8800265148925	1.9159738058821	0.857332040024279
FBgn0003900	Region7057	Toll10b	Up	-0.986071626062343	-1.33107808352652	2.03430770288931	-1.1712829639359
FBgn0003900	Region7058	Toll10b	Up	-0.464530034886984	-1.56225883103624	2.75632495628432	-1.87780029910114
FBgn0003900	Region7059	Toll10b	Up	-0.398195000430525	-0.964852997373037	1.99688095285799	-1.56167302128219
FBgn0003900	Region7060	Toll10b	Up	0.455202243917357	-1.53570420396609	3.19481681781508	-2.50813036561756
FBgn0003900	Region7068	Toll10b	Up	0.686746435425102	-1.4419623364536	2.76636298054763	-2.03650614384202
FBgn0085400	Region7076	Toll9	Down	0.33894411462547	-0.616266067916359	2.36171644056473	-2.47968666712531
FBgn0085400	Region7083	Toll9	Down	0.613779469293431	-0.338639868205047	1.57086422455729	-1.7352310525767
FBgn0001148	Region7454	Gd7	Down	0.895883761213352	-2.09887165048941	0.835504567855062	1.39000032382463
FBgn0052475	Region7510	Toll10b	Down	1.47875403966763	13.1841968637187	-17.9996501926501	8.66782157641857
FBgn0052475	Region7511	Toll10b	Down	0.761328502777722	11.4584462123224	-16.6718774196609	8.93635273775565
FBgn0052475	Region7513	Toll10b	Down	-0.220717827176647	7.95474820824066	-11.2134280162548	5.71178386520613
FBgn0052475	Region7515	Toll10b	Down	1.42300771765254	0.995527688424891	-2.5345323887328	2.25831997846162
FBgn0052475	Region7516	Toll10b	Down	0.0977583440070091	2.13903320474293	-2.63402177193958	1.01565698440027
FBgn0052475	Region7517	Toll10b	Down	0.0946214416365273	2.66108685765282	-4.4522306226323	2.86729627455469
FBgn0052475	Region7518	Toll10b	Down	-1.19918035918449	2.81716789509824	-5.50836669640972	4.12024479431657
FBgn0052475	Region7519	Toll10b	Down	-1.41958999868811	3.9699472484356	-5.26325832788984	2.39620063892653
FBgn0052475	Region7520	Toll10b	Down	0.782193866858152	3.69410122873036	-5.33049032858745	2.82045148943965
FBgn0052475	Region7521	Toll10b	Down	-0.306657631020001	1.8630912058912	-4.70585439579779	4.17529275008316
FBgn0052475	Region7522	Toll10b	Down	0.490341000266828	3.44440383230864	-4.45152489711138	1.92209954149828
FBgn0052475	Region7523	Toll10b	Down	-0.167366454241416	1.1057532798271	-2.70690063644498	2.36064650246445
FBgn0025525	Region7793	Toll10b	Up	0.797796545432186	-0.772732532623669	1.96837354587374	-1.75436255297749
FBgn0004635	Region7863	Toll10b	Up	-0.850584138838241	-1.25934748714607	1.9845793351927	-1.1898950250204
FBgn0035257	Region7906	Gd7	Up	-0.152139716938847	3.72302087343308	-1.83387845708365	-1.98552148408573
FBgn0035257	Region7907	Gd7	Up	-0.838950836283199	2.24008757259603	-1.33705294077308	-0.87586556113083
FBgn0035348	Region8045	Toll10b	Up	0.850363971089815	-1.05351867819413	1.85152469207356	-1.25645473674134
FBgn0052485	Region8103	Gd7	Up	-0.195020506407658	2.00636976909946	-1.07795101075176	-0.94767861808962
FBgn0014388	Region8158	Toll10b	Up	0.950559690939181	-1.55310690112762	2.81734708129407	-1.97209674584941
FBgn0014388	Region8168	Toll10b	Up	0.466790557274866	-0.949277060168746	1.90971935025286	-1.46151707861797
